Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,147.77,85.7,117.54,146.63,152.52,78.17
2,Switzerland,125.69,51.2,89.41,124.93,118.55,114.83
3,Norway,96.8,32.61,65.54,89.55,96.81,83.4
4,Iceland,90.19,38.54,65.04,80.91,97.17,74.78
5,Japan,86.22,26.18,56.98,86.84,48.07,78.88
6,Denmark,85.02,33.1,59.74,65.85,95.71,101.27
7,Luxembourg,84.38,55.11,70.13,74.03,86.29,99.86
8,Bahamas,84.25,37.04,61.26,64.89,83.29,53.12
9,Israel,82.52,29.96,56.93,68.65,86.25,73.94
10,Singapore,81.13,61.27,71.46,69.2,58,82.61
11,Barbados,79.92,20.16,50.82,67.5,68.34,49.24
12,Ireland,78.07,41.63,60.33,61.63,76.61,74.58
13,Hong Kong,77.9,75.26,76.62,77.47,54.7,67.02
14,France,76.34,25.85,51.75,72.34,69.07,76.21
15,South Korea,75.93,21.91,49.63,91.35,40.47,81.67
16,Australia,75.89,34.18,55.58,70.62,68.88,103.38
17,Netherlands,74.63,35.59,55.62,57.81,76.09,86.76
18,Seychelles,74.41,30.11,52.83,74.36,75.47,19.77
19,Belgium,73.59,24.4,49.63,61.73,75.62,80.12
20,Finland,72.71,25.89,49.91,59.61,77.75,93.94
21,United States,72.47,40.07,56.69,69.68,68.29,108.29
22,Sweden,72.31,25.86,49.69,63.62,71.03,94.04
23,New Zealand,71.83,31.74,52.31,66.29,63.05,87.22
24,Austria,71.78,26.32,49.64,63.63,66.24,79.38
25,Macao,70.18,42.47,56.69,67.3,48.91,73.01
26,Puerto Rico,70.02,18.89,45.12,71.53,57.74,71.16
27,Malta,69.26,30.4,50.34,57.97,71.82,44.65
28,Italy,68.95,21.4,45.79,58.29,68.8,61.8
29,Qatar,67.54,46.01,57.05,59.2,63.91,99.82
30,Germany,66.34,26.99,47.18,50.29,60.53,97.41
31,Canada,66.18,29.28,48.21,63.4,59.6,83.22
32,Libya,66.06,14.88,41.14,76.25,37.6,38.39
33,United Kingdom,65.67,28.31,47.48,51.15,68.45,86.98
34,Lebanon,64.26,23.18,44.25,50.7,54.77,35.28
35,United Arab Emirates,62.98,40.03,51.81,49.26,59.17,86.06
36,Taiwan,61.95,16.87,40,74.5,26.03,61.36
37,Cyprus,59.93,20.5,40.73,47.04,61.84,56.8
38,Bahrain,58.36,29.46,44.29,47.99,50.37,56.17
39,Greece,57.5,11.89,35.29,43.67,52.42,40.75
40,Trinidad and Tobago,56.66,16.88,37.29,54.08,52.55,41.39
41,Croatia,56.31,13.71,35.56,50.6,45.51,43.25
42,Spain,55.27,21.69,38.91,44.89,51.68,67.73
43,Slovenia,55.17,17.47,36.81,46.42,44.15,60.61
44,Panama,55.02,23.6,39.72,55.67,46.43,33.79
45,Palestine,54.96,9.29,32.72,48.51,37.26,40.94
46,Ethiopia,54.86,15.43,35.66,38.08,20.18,9.13
47,Jamaica,54.36,15.26,35.32,56.28,34.82,35.55
48,Costa Rica,54.2,15.4,35.31,51.18,43.39,36.43
49,Zimbabwe,54.06,10.31,32.75,48.47,39.36,22.59
50,Jordan,53.4,10.63,32.57,43.07,43.82,34.7
51,Belize,53.08,11.67,32.91,46.98,35.49,47.93
52,Estonia,52.93,14.59,34.26,39.67,52.38,66.08
53,Mauritius,51.75,11.1,31.96,52.09,36.99,28.79
54,Kuwait,49.86,29.84,40.11,35.07,43.54,79.31
55,Fiji,49.65,17.79,34.13,55.32,37.11,31.49
56,Portugal,49.52,20.78,35.52,38.97,39.26,47.1
57,Oman,49.42,16.78,33.52,44.85,41.08,87.3
58,Latvia,49.18,12.66,31.4,37.15,40.35,49.49
59,Saudi Arabia,49.15,11.61,30.87,39.36,31.42,93.84
60,Thailand,48.97,16.29,33.06,49.38,23.64,33.02
61,Suriname,47.95,9.36,29.16,48.53,44.21,18.52
62,Cambodia,47.91,14.39,31.59,47.04,22.51,11.66
63,Brunei,47.49,21.9,35.03,44.48,34.08,75.32
64,Slovakia,46.8,15.68,31.65,40.7,34.52,53.39
65,Uruguay,46.66,13.04,30.29,36.95,43.13,33.77
66,Chile,45.43,13.66,29.96,37.78,42.9,35.55
67,Czechia,45.05,18.37,32.06,38.53,30.86,59.28
68,El Salvador,44.96,12.77,29.29,43.82,33.1,22.56
69,Lithuania,44.85,13.44,29.56,34.97,40.64,55.57
70,Guatemala,44.23,15.18,30.08,38.84,32.28,34.35
71,Cuba,43.85,4.3,24.59,38.63,32.13,2.05
72,Nicaragua,43.7,7.93,26.28,40.6,29.26,19.67
73,Honduras,42.73,10.69,27.13,34.94,28.22,30.08
74,Dominican Republic,41.76,10.05,26.32,35.41,35.1,22.69
75,Ecuador,40.62,11.68,26.53,35.68,27.67,32.7
76,Hungary,40.09,12.68,26.74,31.6,31.09,46.3
77,Mozambique,39.98,17.04,28.81,30.71,30.1,15.17
78,China,39.51,15.2,27.67,41.31,25.88,60.44
79,Poland,39.46,15.77,27.93,30.72,32.44,52.3
80,Philippines,39.25,10.12,25.07,36.04,20.64,21.38
81,Botswana,39.13,9.75,24.82,34.01,39.11,66.79
82,Cameroon,38.95,7.06,23.42,38.49,22.18,16.6
83,Montenegro,38.68,10.6,25.01,29.74,30.35,37.54
84,Ghana,38.52,20.93,29.95,38.15,26.54,16.02
85,Iraq,38.49,10.84,25.03,32.36,30.21,41.54
86,Somalia,38.48,5.22,22.28,45.94,25.75,28.91
87,Iran,38.47,16.34,27.69,32.43,24.7,21.88
88,Myanmar,38.47,26.72,32.75,39.35,20.68,10.33
89,Bulgaria,38.39,9.5,24.32,32.32,29.33,44.11
90,Vietnam,38.12,13.48,26.12,37.65,19.06,26.98
91,Namibia,38.12,12.52,25.65,31.83,36.63,58.12
92,Malaysia,38.09,10,24.41,38.22,20.57,59.12
93,Kenya,37.75,9.34,23.92,34,31.23,28.98
94,Peru,37.64,12.33,25.32,34.29,23.29,30.66
95,South Africa,37.52,14.52,26.32,30.14,33.18,73.52
96,Serbia,36.98,9.07,23.39,27.31,28.14,36.04
97,Albania,36.96,7.94,22.83,29.79,25.93,28.12
98,Indonesia,36.86,10.02,23.79,37.6,17.74,22.19
99,Tanzania,36.85,13.21,25.34,32.44,24.07,13.89
100,Bosnia And Herzegovina,36.57,6.59,21.97,29.15,24.05,41.58
101,Romania,36.23,9.89,23.4,30.56,30.37,46.7
102,Rwanda,36.21,14.64,25.71,29.74,30.74,20.54
103,Bolivia,36.02,10.78,23.73,31.07,24.83,39.3
104,Morocco,34.44,8.53,21.82,30.14,24.24,33.44
105,Mongolia,33.97,10.97,22.77,33.6,22.37,28.38
106,Armenia,33.71,10.81,22.56,26.32,27.86,26.09
107,Russia,33.66,9.64,21.96,27.36,31.12,35.96
108,Moldova,33.52,8.37,21.27,25.98,28.74,25.39
109,Bangladesh,33.41,5.04,19.59,30.64,19.42,27.59
110,North Macedonia,32.96,6.3,19.98,26.77,22.46,33.3
111,Sri Lanka,32.93,8.76,21.16,37.32,17.15,21.42
112,Belarus,32.63,9.27,21.25,27.79,32.71,33.7
113,Turkey,32.44,6.71,19.91,27.74,20.72,38.04
114,Argentina,31.18,7.29,19.55,25.17,26.91,43.38
115,Azerbaijan,31.14,9.1,20.41,25.1,29.65,27.19
116,Kazakhstan,31.01,9.52,20.55,25.85,27.2,38.26
117,Brazil,30.99,7.91,19.75,23.58,22.03,30.36
118,Uganda,30.96,8.79,20.17,26.19,22.42,14.73
119,Mexico,30.93,10.37,20.91,28.93,25.46,38.17
120,Paraguay,30.34,9.37,20.13,24.8,23.25,30.93
121,Ukraine,30.05,9.06,19.83,24.4,23.8,30.9
122,Nigeria,29.76,27.24,28.53,30.39,17.66,11.1
123,Georgia,29.71,10.35,20.28,25.32,26.13,24.77
124,Egypt,29.55,5.53,17.85,25.54,23.52,21.09
125,Colombia,29.02,9.02,19.28,23.97,20.38,27.92
126,Algeria,28.88,5.01,17.25,29.2,14.98,26.9
127,Kosovo (Disputed Territory),28.42,8.5,18.72,26.62,19.46,43.32
128,Nepal,28.17,4.69,16.73,24.98,19.16,20.17
129,Tunisia,27.93,5.49,17,26.92,14.51,30.24
130,Uzbekistan,27.37,7.59,17.74,22.87,21.25,22.25
131,Syria,27.04,5.77,16.68,24.42,23.21,9.48
132,Afghanistan,26.71,3.99,15.65,18.99,18.48,28.19
133,Kyrgyzstan,24.7,7.78,16.46,21.76,20.96,23.56
134,India,24.12,5.5,15.05,24.57,16.38,50.55
135,Pakistan,21,4.28,12.86,18.21,16.25,28.39
